-elCAgW7xIk,1,1
0Y2Zx1gCd3k,1,1
0mM4QhdBr9M,8,7
1T08A8kecOI,3,0
27KPJcuJLQ8,1,0
2Z7x6jLBVOk,1,4
3DqkP_ufZMA,2,1
3azHvh9JlyA,2,1
43GWkaLbPtw,1,0
46Q99_tstOc,4,0
5MruT0J95yw,5,4
5tiHA22wEqg,2,2
6JMeaJUmpBw,1,0
6Q8Q6CXtn2A,1,0
6vsYCSmBcM0,1,0
764TgxWThtI,0,1
7Dub-SBAgrA,3,0
9uoKutwuCio,0,1
BYfzYeEzOP4,1,0
BcedmeGewF0,1,1
C1t-DVPh6MQ,1,0
D6zaVhQkwnY,1,0
DxbMmNKlANU,1,0
EGUhglM3lZI,2,0
EK0FEFBwWGk,1,0
EdqXlTEJzRo,2,1
FaiKRwuRmrM,4,3
HWSvAKL-4CA,1,0
HnMfGLE-WB0,1,1
KfYiWerAQgg,0,3
KxZ_RcZDApc,10,10
LNQnn3TrDYk,2,0
MmRmqGIymWI,1,0
Pf_8Ank6W0g,1,1
PqzAToxq4uI,10,3
RVdVddkHQaw,3,1
RsltR02GNZE,1,0
